Date,Time (Local),Eyeballs,Zeroes,Completed Trips,Requests,Unique Drivers,DateTime
10-Sep-12,7,5,0,2,2,9,2012-09-10 07:00:00
10-Sep-12,8,6,0,2,2,14,2012-09-10 08:00:00
10-Sep-12,9,8,3,0,0,14,2012-09-10 09:00:00
10-Sep-12,10,9,2,0,1,14,2012-09-10 10:00:00
10-Sep-12,11,11,1,4,4,11,2012-09-10 11:00:00
10-Sep-12,12,12,0,2,2,11,2012-09-10 12:00:00
10-Sep-12,13,9,1,0,0,9,2012-09-10 13:00:00
10-Sep-12,14,12,1,0,0,9,2012-09-10 14:00:00
10-Sep-12,15,11,2,1,2,7,2012-09-10 15:00:00
10-Sep-12,16,11,2,3,4,6,2012-09-10 16:00:00
10-Sep-12,17,12,2,3,4,4,2012-09-10 17:00:00
10-Sep-12,18,11,1,3,4,7,2012-09-10 18:00:00
10-Sep-12,19,13,2,2,3,7,2012-09-10 19:00:00
10-Sep-12,20,11,1,0,0,5,2012-09-10 20:00:00
10-Sep-12,21,11,0,1,1,3,2012-09-10 21:00:00
10-Sep-12,22,16,3,0,2,4,2012-09-10 22:00:00
10-Sep-12,23,21,5,3,3,4,2012-09-10 23:00:00
11-Sep-12,0,9,3,1,1,3,2012-09-11 00:00:00
11-Sep-12,1,3,2,0,1,3,2012-09-11 01:00:00
11-Sep-12,2,1,1,0,0,1,2012-09-11 02:00:00
11-Sep-12,3,1,1,0,0,1,2012-09-11 03:00:00
11-Sep-12,4,1,1,0,0,1,2012-09-11 04:00:00
11-Sep-12,5,1,1,0,0,0,2012-09-11 05:00:00
11-Sep-12,6,7,3,2,3,3,2012-09-11 06:00:00
11-Sep-12,7,10,0,2,2,5,2012-09-11 07:00:00
11-Sep-12,8,11,2,0,0,6,2012-09-11 08:00:00
11-Sep-12,9,15,2,0,0,6,2012-09-11 09:00:00
11-Sep-12,10,12,1,1,1,8,2012-09-11 10:00:00
11-Sep-12,11,16,1,0,0,9,2012-09-11 11:00:00
11-Sep-12,12,5,1,0,0,8,2012-09-11 12:00:00
11-Sep-12,13,11,2,1,1,7,2012-09-11 13:00:00
11-Sep-12,14,19,1,1,2,5,2012-09-11 14:00:00
11-Sep-12,15,19,1,2,2,9,2012-09-11 15:00:00
11-Sep-12,16,19,3,1,1,7,2012-09-11 16:00:00
11-Sep-12,17,23,5,0,0,9,2012-09-11 17:00:00
11-Sep-12,18,21,1,7,8,11,2012-09-11 18:00:00
11-Sep-12,19,28,2,8,9,12,2012-09-11 19:00:00
11-Sep-12,20,22,2,7,7,10,2012-09-11 20:00:00
11-Sep-12,21,19,6,5,5,5,2012-09-11 21:00:00
